,category,sub_category,headline,headline_url
40,city,delhi,delhi 40 year old dies after wall falls on him 1 held,https://timesofindia.indiatimes.com/city/delhi/delhi-40-year-old-dies-after-wall-falls-on-him-1-held/articleshow/99923802.cms
41,city,delhi,delhi govt announces plan for sangam vihar colonies,https://timesofindia.indiatimes.com/city/delhi/delhi-govt-announces-plan-for-sangam-vihar-colonies/articleshow/99923367.cms
42,city,delhi,igi cargo and ground handling jurisdiction sc to decide afresh,https://timesofindia.indiatimes.com/city/delhi/igi-cargo-and-ground-handling-jurisdiction-sc-to-decide-afresh/articleshow/99923281.cms
43,city,delhi,panel to study routes for delhis mohalla bus give report by may end,https://timesofindia.indiatimes.com/city/delhi/panel-to-study-routes-for-delhis-mohalla-bus-give-report-by-may-end/articleshow/99923193.cms
44,city,delhi,asi or delhi development authority must provide land to prepare rehab plan saurabh bharadwaj,https://timesofindia.indiatimes.com/city/delhi/asi-or-delhi-development-authority-must-provide-land-to-prepare-rehab-plan-saurabh-bharadwaj/articleshow/99923104.cms
45,city,delhi,delhi govt nod to release of first instalment of rs 773 crore to mcd,https://timesofindia.indiatimes.com/city/delhi/delhi-govt-nod-to-release-of-first-instalment-of-rs-773-crore-to-mcd/articleshow/99923025.cms
46,city,delhi,sc refuses to stay demolition drive in delhis tughlaqabad,https://timesofindia.indiatimes.com/city/delhi/sc-refuses-to-stay-demolition-drive-in-delhis-tughlaqabad/articleshow/99922796.cms
47,city,delhi,gangster tillu tajpuriya killed by rival gang members inside tihar jail,https://timesofindia.indiatimes.com/city/delhi/gangster-tillu-tajpuriya-killed-by-rival-gang-members-inside-tihar-jail/articleshow/99921376.cms
48,city,bengaluru,attack on aap natl leaders wont affect ktaka campaign says punjab cm,https://timesofindia.indiatimes.com/city/bengaluru/attack-on-aap-natl-leaders-wont-affect-ktaka-campaign-says-punjab-cm/articleshow/99920897.cms
49,city,bengaluru,10 month old falls into drain dies,https://timesofindia.indiatimes.com/city/bengaluru/10-month-old-falls-into-drain-dies/articleshow/99920893.cms
50,city,bengaluru,uniform civil code will equate muslim womenwith men himanta,https://timesofindia.indiatimes.com/city/bengaluru/uniform-civil-code-will-equate-muslim-womenwith-men-himanta/articleshow/99920891.cms
51,city,bengaluru,9 vehicles damaged girl injured,https://timesofindia.indiatimes.com/city/bengaluru/9-vehicles-damaged-girl-injured/articleshow/99920890.cms
52,city,bengaluru,coforge to go for us ipo as soon as public market revives chief executive,https://timesofindia.indiatimes.com/city/bengaluru/coforge-to-go-for-us-ipo-as-soon-as-public-market-revives-chief-executive/articleshow/99920888.cms
53,city,bengaluru,26 more return to ktaka from war torn sudan,https://timesofindia.indiatimes.com/city/bengaluru/26-more-return-to-ktaka-from-war-torn-sudan/articleshow/99920889.cms
54,city,bengaluru,3 die as bike rams suv on e way,https://timesofindia.indiatimes.com/city/bengaluru/3-die-as-bike-rams-suv-on-e-way/articleshow/99920885.cms
55,city,bengaluru,husband alleges bid to harmkgf mlas poll prospects,https://timesofindia.indiatimes.com/city/bengaluru/husband-alleges-bid-to-harmkgf-mlas-poll-prospects/articleshow/99920884.cms
56,city,bengaluru,habeas corpus writ doesnt hold against detention hc,https://timesofindia.indiatimes.com/city/bengaluru/habeas-corpus-writ-doesnt-hold-against-detention-hc/articleshow/99920880.cms
57,city,bengaluru,all star down pattabhiram bc,https://timesofindia.indiatimes.com/city/bengaluru/all-star-down-pattabhiram-bc/articleshow/99920875.cms
58,city,bengaluru,college fest stabbing in bengaluru 2 more held,https://timesofindia.indiatimes.com/city/bengaluru/college-fest-stabbing-in-bengaluru-2-more-held/articleshow/99920337.cms
59,city,bengaluru,unique property id 4 lakh owners in bengaluru issued upor cards,https://timesofindia.indiatimes.com/city/bengaluru/unique-property-id-4-lakh-owners-in-bengaluru-issued-upor-cards/articleshow/99919723.cms
60,city,hyderabad,police suspect love affair led to twin murder,https://timesofindia.indiatimes.com/city/hyderabad/police-suspect-love-affair-led-to-twin-murder/articleshow/99920977.cms
61,city,hyderabad,teachers at kgbv must get vacation,https://timesofindia.indiatimes.com/city/hyderabad/teachers-at-kgbv-must-get-vacation/articleshow/99920974.cms
62,city,hyderabad,waterlogging brings traffic to a crawl at wellington road in scb,https://timesofindia.indiatimes.com/city/hyderabad/waterlogging-brings-traffic-to-a-crawl-at-wellington-road-in-scb/articleshow/99920970.cms
63,city,hyderabad,heli ride turns pony trip at char dham firm fined,https://timesofindia.indiatimes.com/city/hyderabad/heli-ride-turns-pony-trip-at-char-dham-firm-fined/articleshow/99920962.cms
64,city,hyderabad,guilty quack back in biz shop runs near sealed one,https://timesofindia.indiatimes.com/city/hyderabad/guilty-quack-back-in-biz-shop-runs-near-sealed-one/articleshow/99920961.cms
65,city,hyderabad,5cr cases pending will take 323 yrs to clear ex sc judge,https://timesofindia.indiatimes.com/city/hyderabad/5cr-cases-pending-will-take-323-yrs-to-clear-ex-sc-judge/articleshow/99920958.cms
66,city,hyderabad,misery piles on ravaged nallakunta,https://timesofindia.indiatimes.com/city/hyderabad/misery-piles-on-ravaged-nallakunta/articleshow/99920956.cms
67,city,hyderabad,locals want access to defence area for early morning stroll,https://timesofindia.indiatimes.com/city/hyderabad/locals-want-access-to-defence-area-for-early-morning-stroll/articleshow/99920955.cms
68,city,hyderabad,shaikpet sees 10cm rainfall no respite for city this week,https://timesofindia.indiatimes.com/city/hyderabad/shaikpet-sees-10cm-rainfall-no-respite-for-city-this-week/articleshow/99920952.cms
69,city,hyderabad,hyderabad deluged wrecked blacked out,https://timesofindia.indiatimes.com/city/hyderabad/hyderabad-deluged-wrecked-blacked-out/articleshow/99920947.cms
70,city,hyderabad,sectt day 2 kcr directive to expedite palamuru project,https://timesofindia.indiatimes.com/city/hyderabad/sectt-day-2-kcr-directive-to-expedite-palamuru-project/articleshow/99920942.cms
71,city,hyderabad,quacks threat to life med council in freeze,https://timesofindia.indiatimes.com/city/hyderabad/quacks-threat-to-life-med-council-in-freeze/articleshow/99920943.cms
72,city,chennai,o panneerselvams dissolution of general council legally untenable,https://timesofindia.indiatimes.com/city/chennai/o-panneerselvams-dissolution-of-general-council-legally-untenable/articleshow/99926849.cms
73,city,chennai,tamil nadu a small step in inclusivity a giant leap in industry,https://timesofindia.indiatimes.com/city/chennai/tamil-nadu-a-small-step-in-inclusivity-a-giant-leap-in-industry/articleshow/99926653.cms
74,city,chennai,bjp hindu makkal katchi men slug it out in public,https://timesofindia.indiatimes.com/city/chennai/bjp-hindu-makkal-katchi-men-slug-it-out-in-public/articleshow/99925420.cms
75,city,chennai,chennai cops step in to reclaim pavements,https://timesofindia.indiatimes.com/city/chennai/chennai-cops-step-in-to-reclaim-pavements/articleshow/99926255.cms
76,city,chennai,water stagnates on general patters road off anna salai in chennai following rain traffic hit,https://timesofindia.indiatimes.com/city/chennai/water-stagnates-on-general-patters-road-off-anna-salai-in-chennai-following-rain-traffic-hit/articleshow/99923131.cms
77,city,chennai,highways department removes encroachers along busy gst road,https://timesofindia.indiatimes.com/city/chennai/highways-department-removes-encroachers-along-busy-gst-road/articleshow/99920934.cms
78,city,chennai,construction equipment sales grow 26 to cross 1 lakh units in fy23,https://timesofindia.indiatimes.com/city/chennai/construction-equipment-sales-grow-26-to-cross-1-lakh-units-in-fy23/articleshow/99920928.cms
79,city,chennai,govt schools enrol 1 lakh new students in classes i v,https://timesofindia.indiatimes.com/city/chennai/govt-schools-enrol-1-lakh-new-students-in-classes-i-v/articleshow/99920926.cms
80,city,chennai,hc govt action against graft is just not enough,https://timesofindia.indiatimes.com/city/chennai/hc-govt-action-against-graft-is-just-not-enough/articleshow/99920925.cms
81,city,chennai,politics of states divided culture of nation governor,https://timesofindia.indiatimes.com/city/chennai/politics-of-states-divided-culture-of-nation-governor/articleshow/99920923.cms
82,city,chennai,non tech sector talent pool to grow at 7 5,https://timesofindia.indiatimes.com/city/chennai/non-tech-sector-talent-pool-to-grow-at-7-5/articleshow/99920918.cms
83,city,chennai,bids for chennai bluru road six laning postponed 11th time,https://timesofindia.indiatimes.com/city/chennai/bids-for-chennai-bluru-road-six-laning-postponed-11th-time/articleshow/99920917.cms
